symbol,isin,active,mainboard,series,instrument_type,surveillance,trade_to_trade,suspended,reference_as_of,source
ABB,INE117A01022,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ABB_CONSOLIDATED_20260813.html
ABCAPITAL,INE674K01013,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ABCAPITAL_CONSOLIDATED_20260813.html
ACC,INE012A01025,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ACC_CONSOLIDATED_20260813.html
ADANIENSOL,INE931S01010,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ADANIENSOL_CONSOLIDATED_20260813.html
ADANIENT,INE423A01024,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ADANIENT_CONSOLIDATED_20260813.html
ADANIGREEN,INE364U01010,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ADANIGREEN_CONSOLIDATED_20260813.html
ADANIPORTS,INE742F01042,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ADANIPORTS_CONSOLIDATED_20260813.html
ADANIPOWER,INE814H01029,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ADANIPOWER_CONSOLIDATED_20260813.html
ALKEM,INE540L01014,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ALKEM_CONSOLIDATED_20260813.html
AMBUJACEM,INE079A01024,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/AMBUJACEM_CONSOLIDATED_20260813.html
APLAPOLLO,INE702C01027,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/APLAPOLLO_CONSOLIDATED_20260813.html
APOLLOHOSP,INE437A01024,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/APOLLOHOSP_CONSOLIDATED_20260813.html
