symbol,isin,source
360ONE,INE466L01038,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ABB,INE117A01022,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ABCAPITAL,INE674K01013,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ADANIENSOL,INE931S01010,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ADANIENT,INE423A01024,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ADANIGREEN,INE364U01010,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ADANIPORTS,INE742F01042,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ADANIPOWER,INE814H01029,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ALKEM,INE540L01014,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
AMBER,INE371P01015,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
AMBUJACEM,INE079A01024,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ANGELONE,INE732I01021,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
APLAPOLLO,INE702C01027,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
APOLLOHOSP,INE437A01024,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ASHOKLEY,INE208A01029,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ASIANPAINT,INE021A01026,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ASTRAL,INE006I01046,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
AUBANK,INE949L01017,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
AUROPHARMA,INE406A01037,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
AXISBANK,INE238A01034,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
BAJAJ-AUTO,INE917I01010,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
BAJAJFINSV,INE918I01026,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
BAJAJHLDNG,INE118A01012,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
BAJFINANCE,INE296A01032,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
BANDHANBNK,INE545U01014,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
BANKBARODA,INE028A01039,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
BANKINDIA,INE084A01016,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
BDL,INE171Z01026,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
BEL,INE263A01024,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
BHARATFORG,INE465A01025,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
BHARTIARTL,INE397D01024,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
BHEL,INE257A01026,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
