symbol,isin,active,mainboard,series,instrument_type,surveillance,trade_to_trade,suspended,reference_as_of,source
20MICRONS,INE144J01027,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
21STCENMGM,INE253B01015,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
360ONE,INE466L01038,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
3BBLACKBIO,INE994E01018,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
3MINDIA,INE470A01017,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
3PLAND,INE105C01023,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
5PAISA,INE618L01018,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
63MOONS,INE111B01023,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
A2ZINFRA,INE619I01012,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AAATECH,INE0D0U01013,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AADHARHFC,INE883F01010,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AAKASH,INE087Z01024,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AAREYDRUGS,INE198H01019,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AARON,INE721Z01010,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AARTIDRUGS,INE767A01016,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AARTIIND,INE769A01020,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AARTIPHARM,INE0LRU01027,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AARVI,INE754X01016,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AASTHA,INE2FMX01012,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AAVAS,INE216P01012,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ABANSENT,INE365O01028,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ABB,INE117A01022,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ABBOTINDIA,INE358A01014,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ABCAPITAL,INE674K01013,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ABCOTS,INE08PH01015,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ABDL,INE552Z01027,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ABFRL,INE647O01011,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ABINFRA,INE00YB01025,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ABLBL,INE14LE01019,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ABMKNO,INE850B01026,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ABREL,INE055A01016,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ABSLAMC,INE404A01024,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ACC,INE012A01025,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ACCELYA,INE793A01012,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ACE,INE731H01025,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ACEINTEG,INE543V01017,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ACGL,INE451C01013,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ACI,INE128X01021,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ACL,INE666E01020,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ACMESOLAR,INE622W01025,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ACSTECH,INE366C01021,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ACUTAAS,INE00FF01025,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ADANIENSOL,INE931S01010,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ADANIENT,INE423A01024,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ADANIGREEN,INE364U01010,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ADANIPORTS,INE742F01042,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ADANIPOWER,INE814H01029,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ADDIND,INE757C01021,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ADFFOODS,INE982B01027,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ADL,INE0CHO01012,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ADOR,INE045A01017,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ADROITINFO,INE737B01033,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ADSL,INE102I01027,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ADVAIT,INE0ALI01010,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ADVANCE,INE1B0W01010,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ADVANIHOTR,INE199C01026,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ADVENTHTL,INE28GN01010,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ADVENZYMES,INE837H01020,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
ADVIKCA,INE178T01024,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AEGISLOG,INE208C01025,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AEGISVOPAK,INE0INX01018,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AEPL,INE757T01025,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AEQUS,INE947N01017,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AEROENTER,INE065D01027,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AEROFLEX,INE024001021,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AERONEU,INE035801013,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AEROPLANE,INE05TO01019,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
