nse_ticker,screener_symbol,company_name,sector,status,notes
RELIANCE.NS,RELIANCE,Reliance Industries,Energy,OK,
TCS.NS,TCS,Tata Consultancy Services,Information Technology,OK,
ICICIBANK.NS,ICICIBANK,ICICI Bank,Financial Services,OK,
M&M.NS,M&M,Mahindra & Mahindra,Automobile,OK,
SUNPHARMA.NS,SUNPHARMA,Sun Pharmaceutical Industries,Healthcare,OK,
ITC.NS,ITC,ITC,Consumer Goods,OK,
BEL.NS,BEL,Bharat Electronics,Capital Goods,OK,
TATASTEEL.NS,TATASTEEL,Tata Steel,Metals,OK,
BHARTIARTL.NS,BHARTIARTL,Bharti Airtel,Telecom,OK,
LT.NS,LT,Larsen & Toubro,Capital Goods,OK,
HDFCBANK.NS,HDFCBANK,HDFC Bank,Financial Services,OK,
INFY.NS,INFY,Infosys,Information Technology,OK,
SBIN.NS,SBIN,State Bank of India,Financial Services,OK,
HINDUNILVR.NS,HINDUNILVR,Hindustan Unilever,Consumer Goods,OK,
KOTAKBANK.NS,KOTAKBANK,Kotak Mahindra Bank,Financial Services,OK,
AXISBANK.NS,AXISBANK,Axis Bank,Financial Services,OK,
BAJFINANCE.NS,BAJFINANCE,Bajaj Finance,Financial Services,OK,
ASIANPAINT.NS,ASIANPAINT,Asian Paints,Consumer Durables,OK,
MARUTI.NS,MARUTI,Maruti Suzuki India,Automobile,OK,
TITAN.NS,TITAN,Titan Company,Consumer Durables,OK,
ULTRACEMCO.NS,ULTRACEMCO,UltraTech Cement,Cement,OK,
WIPRO.NS,WIPRO,Wipro,Information Technology,OK,
ONGC.NS,ONGC,Oil and Natural Gas Corporation,Energy,OK,
NTPC.NS,NTPC,NTPC,Power,OK,
POWERGRID.NS,POWERGRID,Power Grid Corporation of India,Power,OK,
HCLTECH.NS,HCLTECH,HCL Technologies,Information Technology,OK,
TECHM.NS,TECHM,Tech Mahindra,Information Technology,OK,
NESTLEIND.NS,NESTLEIND,Nestle India,Consumer Goods,OK,
JSWSTEEL.NS,JSWSTEEL,JSW Steel,Metals,OK,
HINDALCO.NS,HINDALCO,Hindalco Industries,Metals,OK,
COALINDIA.NS,COALINDIA,Coal India,Energy,OK,
ADANIENT.NS,ADANIENT,Adani Enterprises,Diversified,OK,
ADANIPORTS.NS,ADANIPORTS,Adani Ports and SEZ,Infrastructure,OK,
GRASIM.NS,GRASIM,Grasim Industries,Diversified,OK,
CIPLA.NS,CIPLA,Cipla,Healthcare,OK,
DRREDDY.NS,DRREDDY,Dr. Reddy's Laboratories,Healthcare,OK,
DIVISLAB.NS,DIVISLAB,Divi's Laboratories,Healthcare,OK,
APOLLOHOSP.NS,APOLLOHOSP,Apollo Hospitals Enterprise,Healthcare,OK,
BAJAJFINSV.NS,BAJAJFINSV,Bajaj Finserv,Financial Services,OK,
HDFCLIFE.NS,HDFCLIFE,HDFC Life Insurance,Financial Services,OK,
SBILIFE.NS,SBILIFE,SBI Life Insurance,Financial Services,OK,
HEROMOTOCO.NS,HEROMOTOCO,Hero MotoCorp,Automobile,OK,
EICHERMOT.NS,EICHERMOT,Eicher Motors,Automobile,OK,
BRITANNIA.NS,BRITANNIA,Britannia Industries,Consumer Goods,OK,
TATACONSUM.NS,TATACONSUM,Tata Consumer Products,Consumer Goods,OK,
UPL.NS,UPL,UPL,Chemicals,OK,
BPCL.NS,BPCL,Bharat Petroleum Corporation,Energy,OK,
IOC.NS,IOC,Indian Oil Corporation,Energy,OK,
INDUSINDBK.NS,INDUSINDBK,IndusInd Bank,Financial Services,OK,
BAJAJ-AUTO.NS,BAJAJ-AUTO,Bajaj Auto,Automobile,OK,
ABB.NS,ABB,ABB India,Capital Goods,OK,
ADANIENSOL.NS,ADANIENSOL,Adani Energy Solutions,Power,OK,
ADANIGREEN.NS,ADANIGREEN,Adani Green Energy,Power,OK,
ADANIPOWER.NS,ADANIPOWER,Adani Power,Power,OK,
AMBUJACEM.NS,AMBUJACEM,Ambuja Cements,Cement,OK,
BAJAJHLDNG.NS,BAJAJHLDNG,Bajaj Holdings and Investment,Financial Services,OK,
BANKBARODA.NS,BANKBARODA,Bank of Baroda,Financial Services,OK,
BHEL.NS,BHEL,Bharat Heavy Electricals,Capital Goods,OK,
BOSCHLTD.NS,BOSCHLTD,Bosch,Automobile,OK,
CANBK.NS,CANBK,Canara Bank,Financial Services,OK,
