Rank,Ticker,Sector,MarketCapCategory,P_Outperform,P_Neutral,P_Underperform,Predicted_Class,Company,Group,Data Date
1,ADANIPOWER.NS,Power,LargeCap,0.4012046608364353,0.3167924953203934,0.28200284384317376,1,Adani Power,NiftyNext50,2026-08-14
2,BHEL.NS,Capital Goods,LargeCap,0.40099037589136555,0.310304480158259,0.2887051439503758,1,Bharat Heavy Electricals,NiftyNext50,2026-08-14
3,ADANIGREEN.NS,Power,LargeCap,0.3851456235957499,0.3145188765356426,0.30033549986860814,1,Adani Green Energy,NiftyNext50,2026-08-14
4,VEDL.NS,Metals,LargeCap,0.384253610374136,0.3121772351782181,0.3035691544476486,1,Vedanta,NiftyNext50,2026-08-14
5,GLAND.NS,Healthcare,MidCap,0.3822053756677921,0.319425593423607,0.29836903090860106,1,Gland Pharma,DiversifiedMidcap,2026-08-14
6,ABCAPITAL.NS,Financial Services,LargeCap,0.38159346986354414,0.3288634147006475,0.28954311543580846,1,Aditya Birla Capital,NiftyNext50,2026-08-14
7,CGPOWER.NS,Capital Goods,LargeCap,0.3808610213611808,0.3340965506749689,0.2850424279638502,1,CG Power and Industrial Solutions,NiftyNext50,2026-08-14
8,BANDHANBNK.NS,Financial Services,MidCap,0.3752047094786856,0.3012865965433288,0.3235086939779859,1,Bandhan Bank,DiversifiedMidcap,2026-08-14
9,MANAPPURAM.NS,Financial Services,MidCap,0.36714202804837925,0.3357693569279196,0.2970886150236999,1,Manappuram Finance,DiversifiedMidcap,2026-08-14
10,M&MFIN.NS,Financial Services,MidCap,0.363627457116457,0.3164715635765081,0.3199009793070347,1,Mahindra & Mahindra Financial Services,DiversifiedMidcap,2026-08-14
11,ASHOKLEY.NS,Automobile,MidCap,0.35926658727978616,0.3083589570211395,0.3323744556990741,1,Ashok Leyland,DiversifiedMidcap,2026-08-14
12,UNIONBANK.NS,Financial Services,LargeCap,0.356259836895804,0.3407183181377359,0.3030218449664622,1,Union Bank of India,NiftyNext50,2026-08-14
13,MOTHERSON.NS,Automobile,LargeCap,0.34512079548814917,0.3078377462488718,0.34704145826298055,-1,Samvardhana Motherson International,NiftyNext50,2026-08-14
14,LAURUSLABS.NS,Healthcare,MidCap,0.3440750214363902,0.31784669218674794,0.3380782863768628,1,Laurus Labs,DiversifiedMidcap,2026-08-14
15,BANKINDIA.NS,Financial Services,MidCap,0.3416223299105299,0.35039452520645664,0.3079831448830141,0,Bank of India,DiversifiedMidcap,2026-08-14
16,HINDPETRO.NS,Energy,MidCap,0.3410157333900044,0.3378938003505304,0.32109046625946486,1,Hindustan Petroleum Corporation,DiversifiedMidcap,2026-08-14
17,ETERNAL.NS,Consumer Services,LargeCap,0.33915677577865766,0.33898697710411824,0.32185624711722693,1,Eternal,NiftyNext50,2026-08-14
18,ADANIENSOL.NS,Power,LargeCap,0.33836499402084774,0.32759555367379556,0.33403945230535825,1,Adani Energy Solutions,NiftyNext50,2026-08-14
19,CONCOR.NS,Services,MidCap,0.3354905252883585,0.34856414978331524,0.31594532492833005,0,Container Corporation of India,DiversifiedMidcap,2026-08-14
20,NAUKRI.NS,Consumer Services,LargeCap,0.33404316409708945,0.3314673538253416,0.3344894820775701,-1,Info Edge India,NiftyNext50,2026-08-14
