Priority,Sector,State,Rank 20D,Rank 10D,Rank 5D,Rank Now,Rank Trend,Rotation Score,Leadership Score,20D vs Market,RS Acceleration,Breadth50,ΔBreadth10D,Persistence,Volume Confirmation,Action
1,Diversified,NEUTRAL,15.0,13.0,12.0,4.0,15→13→12→4 🚀 STRONG IMPROVEMENT,98.88888888888889,67.29166666666667,0.02311967744392196,0.09151403757727228,100.0,50.0,1,Strong,👀 WATCH
2,Telecom,NEUTRAL,13.0,12.0,13.0,10.0,13→12→13→10 🚀 STRONG IMPROVEMENT,84.30555555555556,56.416666666666664,0.016401537827450685,0.04668936833498283,100.0,50.0,0,Strong,👀 WATCH
3,Metals,NEUTRAL,14.0,11.0,8.0,7.0,14→11→8→7 🚀 STRONG IMPROVEMENT,86.11111111111111,66.13888888888889,0.05746130656802806,0.02671390422320452,75.0,12.5,1,Weak,👀 WATCH
4,Capital Goods,LEADER,16.0,5.0,3.0,2.0,16→5→3→2 🚀 STRONG IMPROVEMENT,68.05555555555554,76.34722222222221,0.03543547481307652,0.017326228411935096,70.0,0.0,1,Neutral,⭐ HUNT
5,Infrastructure,NEUTRAL,11.0,16.0,15.0,15.0,11→16→15→15 → STABLE,72.36111111111111,26.361111111111107,-0.07361357218818321,0.022021125930312246,0.0,0.0,0,Strong,⚠️ CAUTION
6,Real Estate,NEUTRAL,1.0,10.0,7.0,9.0,1→10→7→9 🔻 STRONG DETERIORATION,64.16666666666667,64.34722222222223,-0.014625427815619929,0.009596620433491632,100.0,0.0,1,Weak,⚠️ CAUTION
7,Consumer Services,WEAKENING,7.0,7.0,9.0,5.0,7→7→9→5 🚀 STRONG IMPROVEMENT,47.49999999999999,66.97222222222221,0.023915116955198323,-0.021060627662532472,66.66666666666666,0.0,0,Strong,⚠️ CAUTION
8,Energy,NEUTRAL,12.0,14.0,14.0,13.0,12→14→14→13 → STABLE,62.5,35.33333333333333,-0.010259749674128349,0.0013092946067243538,44.44444444444444,11.111111111111114,0,Weak,⚠️ CAUTION
9,Consumer Goods,NEUTRAL,17.0,17.0,18.0,16.0,17→17→18→16 ↑ IMPROVING,64.44444444444444,21.625,-0.03446901533476998,0.0019564232874033083,30.0,0.0,0,Neutral,⚠️ CAUTION
10,Power,NEUTRAL,18.0,18.0,17.0,18.0,18→18→17→18 → STABLE,59.86111111111111,20.041666666666668,-0.037736078384295046,0.0753200610011111,0.0,-25.0,0,Weak,⚠️ CAUTION
11,Chemicals,WEAKENING,9.0,6.0,5.0,8.0,9→6→5→8 ↓ WEAKENING,32.77777777777778,64.70833333333333,0.024741777321038327,-0.025931430395337962,66.66666666666666,0.0,0,Strong,⚠️ CAUTION
12,Consumer Durables,WEAKENING,2.0,2.0,2.0,3.0,2→2→2→3 ↓ WEAKENING,36.25,72.6111111111111,0.04465986155295876,-0.003068823845197688,75.0,-25.0,0,Neutral,⚠️ CAUTION
13,Financial Services,NEUTRAL,8.0,8.0,10.0,12.0,8→8→10→12 🔻 STRONG DETERIORATION,43.8888888888889,49.041666666666664,-0.009768046160057553,-0.012528117482139889,66.66666666666666,6.060606060606048,0,Weak,⚠️ CAUTION
14,Healthcare,WEAKENING,3.0,3.0,4.0,6.0,3→3→4→6 🔻 STRONG DETERIORATION,32.77777777777778,66.86111111111111,0.0070010172401564486,-0.016587236807336536,55.55555555555556,-16.666666666666657,0,Strong,⚠️ CAUTION
15,Automobile,WEAKENING,4.0,1.0,1.0,1.0,4→1→1→1 → STABLE,23.055555555555554,76.68055555555556,0.05159378999483888,-0.04911479539521313,84.61538461538461,-7.692307692307693,0,Weak,⚠️ CAUTION
16,Information Technology,NEUTRAL,5.0,4.0,6.0,11.0,5→4→6→11 🔻 STRONG DETERIORATION,19.72222222222222,54.16666666666666,0.030220861417959988,-0.07788252298497045,100.0,0.0,0,Weak,⚠️ CAUTION
17,Cement,NEUTRAL,10.0,15.0,16.0,17.0,10→15→16→17 🔻 STRONG DETERIORATION,30.833333333333336,21.125,-0.04309442676301811,-0.03912256352913601,20.0,-20.0,0,Neutral,⚠️ CAUTION
18,Services,ROTATION OUT,6.0,9.0,11.0,14.0,6→9→11→14 🔻 STRONG DETERIORATION,22.5,34.68055555555556,-0.03012276939180425,-0.03143386553469707,33.33333333333333,-33.33333333333333,0,Weak,❌ AVOID
